path,size,file_label
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/._MLCE20161107_PI_OME.pdf,4096,pdf-freetext1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/._MLCE20160618_PI_OME.pdf,4096,pdf-freetext1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/._MLCE20160806_PI_OME.pdf,4096,pdf-freetext1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/MLCE20160826.csv,523188,csv-datafile1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/._MLCE20160826_PI_OME.xml,4096,xml-freetext1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/MLCE20160710_PI_OME.xml,13125,xml-datafile1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/._MLCE20160921_PI_OME.pdf,4096,pdf-freetext1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/._MLCE20161128.csv,4096,csv-freetext1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/._MLCE20161219_PI_OME.pdf,4096,pdf-freetext1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/._MLCE20160304.csv,4096,csv-freetext1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/MLCE20160111_PI_OME.pdf,13823,pdf-freetext1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/._MLCE20160907.csv,4096,csv-freetext1
/home/tskluzac/pub8/oceans/ar24woce/ar24_hy1.csv,932634,csv-datafile1
/home/tskluzac/pub8/oceans/ar24woce/odv.data/ar24.idv,18,idv-freetext1
/home/tskluzac/pub8/oceans/p03woce_tps24_2/._p03woce_tps24_1_2.jpg,4096,jpg-image1
/home/tskluzac/pub8/oceans/PACIFICA/49RY19970530/._49RY19970530_hy1.csv,4096,csv-freetext1
/home/tskluzac/pub8/oceans/PACIFICA/49FA20010710/._49FA20010710_hy1.csv,4096,csv-freetext1
/home/tskluzac/pub8/oceans/PACIFICA/49FA20040421/49FA20040421_hy1.csv,362517,csv-datafile1
/home/tskluzac/pub8/oceans/PACIFICA/09AR19910925/._README,4096,_readme-freetext1
/home/tskluzac/pub8/oceans/PACIFICA/49HG19920807/49HG19920807_hy1.csv,108432,csv-datafile1
/home/tskluzac/pub8/oceans/PACIFICA/49HH19910813/._README,4096,_readme-freetext1
/home/tskluzac/pub8/oceans/CARINA/Oceanus/oc269_report.pdf,124613,pdf-freetext1
/home/tskluzac/pub8/oceans/PACIFICA/Line_P/18DD19950822_hy1.csv,26423,csv-datafile1
/home/tskluzac/pub8/oceans/PACIFICA/Line_P/18DD19950508_hy1.csv,49439,csv-datafile1
/home/tskluzac/pub8/oceans/PACIFICA/49OS19930611/49OS19930611_hy1.csv,66923,csv-datafile1
/home/tskluzac/pub8/oceans/GLODAPv2/316N19831113/316N19831113.exc.csv,272540,csv-datafile1
/home/tskluzac/pub8/oceans/NOAA_CMDL_1994_2004.data/Clivar01_met_data.prn,257660,prn-datafile1
/home/tskluzac/pub8/oceans/CARINA/Oceanus/32OC19950529.exc.csv,150290,csv-datafile1
/home/tskluzac/pub8/oceans/CARINA/Oceanus/README,916,NONE-datafile1
/home/tskluzac/pub8/oceans/CARINA/Ymer/README,2216,NONE-freetext1
/home/tskluzac/pub8/oceans/CARINA/Ymer/77YM19800811.exc.csv,215584,csv-datafile1
/home/tskluzac/pub8/oceans/CARINA/Sonne/ar04_06BE200011do.pdf,1197131,pdf-freetext1
/home/tskluzac/pub8/oceans/CARINA/Sonne/README,1804,NONE-freetext1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/MLCE20160404.csv,493191,csv-datafile1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/MLCE20160102.csv,366268,csv-datafile1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/MLCE20161128_PI_OME.xml,12899,xml-datafile1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/._MLCE20160122_PI_OME.xml,4096,xml-freetext1
/home/tskluzac/pub8/oceans/PACIFICA/All_PACIFICA_Original_Cruise_Data/PACIFICAsource/49SU19980819_hy1.csv,169233,csv-datafile1
/home/tskluzac/pub8/batchout.dbf,8514,dbf-datafile1
/home/tskluzac/pub8/oceans/PACIFICA/Line_P/18DD19920908_hy1.csv,38668,csv-datafile1
/home/tskluzac/pub8/oceans/PACIFICA/49RY19970530/49RY19970530_hy1.csv,362047,csv-datafile1
/home/tskluzac/pub8/oceans/PACIFICA/Line_P/18PZ19850429_hy1.csv,17896,csv-datafile1
/home/tskluzac/pub8/oceans/GLODAPv2/316N19831113/316N19831113.jpg,120886,jpg-image1
/home/tskluzac/pub8/oceans/CEND/CEND0512/._README,4096,_readme-freetext1
/home/tskluzac/pub8/posfig.m,1250,m-datafile1
/home/tskluzac/pub8/SOCATv3_Indian.tsv,41949028,tsv-datafile1
/home/tskluzac/pub8/SOCAT_tracks_gridded_monthly_v2.nc,1306387736,nc-freetext1
/home/tskluzac/pub8/intprofile.m,2913,m-datafile1
/home/tskluzac/pub8/PX109E.csv,387990,csv-datafile1
/home/tskluzac/pub8/LDEO_Database_V2012.csv,727336200,csv-datafile1
/home/tskluzac/pub8/SOCATv2_Arctic.tsv,50573800,tsv-datafile1
/home/tskluzac/pub8/batchout.txt,6276,txt-freetext1
/home/tskluzac/pub8/sec_QC.m,6701,m-datafile1
/home/tskluzac/pub8/SOCATv1.5_TropicalAtlantic_2011_09_22.txt,80947720,txt-freetext1
/home/tskluzac/pub8/SOCATv1.5_TropicalPacific_2011_09_22.txt,153043626,txt-freetext1
/home/tskluzac/pub8/LDEO_Database_V2013.csv,973244786,csv-datafile1
/home/tskluzac/pub8/Methods for AESOPS Surface pCO2.doc,72192,doc-freetext1
/home/tskluzac/pub8/SOCATv4_TropicalPacific.tsv,332730455,tsv-datafile1
/home/tskluzac/pub8/SOCATv1.5_2011_09_22.txt,1321441247,txt-freetext1
/home/tskluzac/pub8/nov_2001_f.xls,193536,xls-freetext1
/home/tskluzac/pub8/SOCATv2_Indian.tsv,36612023,tsv-datafile1
/home/tskluzac/pub8/koertzinger_grl24.pdf,1472631,pdf-freetext1
/home/tskluzac/pub8/batchout.kmz,28649,kmz-freetext1
/home/tskluzac/pub8/PX105E.csv,356346,csv-datafile1
/home/tskluzac/pub8/SOCATv1.5_SouthernOcean_2011_09_22.txt,295663643,txt-freetext1
/home/tskluzac/pub8/PX110W.csv,757013,csv-datafile1
/home/tskluzac/pub8/batchin.txt,1420,txt-freetext1
/home/tskluzac/pub8/SOCATv4_NorthPacific.tsv,96421180,tsv-datafile1
/home/tskluzac/pub8/SOCAT_tracks_gridded_monthly.nc,1181970664,nc-freetext1
/home/tskluzac/pub8/SOCAT_tracks_gridded_yearly_v2.nc,130643928,nc-freetext1
/home/tskluzac/pub8/load_refdata.m,2651,m-datafile1
/home/tskluzac/pub8/batchout.shp,436,shp-datafile1
/home/tskluzac/pub8/kiw8sfc.txt,1237404,txt-freetext1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/MLCE20160212.csv,487307,csv-datafile1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/._MLCE20161209.csv,4096,csv-freetext1
/home/tskluzac/pub8/oceans/VOS_Equinox_line/EQNX_2016/._MLCE20160815_PI_OME.xml,4096,xml-freetext1
/home/tskluzac/pub8/oceans/PACIFICA/All_PACIFICA_Original_Cruise_Data/PACIFICAsource/49SU19990709_hy1.csv,183492,csv-datafile1
/home/tskluzac/pub8/oceans/PACIFICA/Line_P/18EN19911017_hy1.csv,34397,csv-datafile1
/home/tskluzac/pub8/oceans/NOAA_CMDL_1994_2004.data/BLASTIII_met_data.prn,256491,prn-datafile1
/home/tskluzac/pub8/PX110E.csv,751278,csv-datafile1
